"pattern","jump","rep","algorithm","Precision","Recall","F1","CorrectNumCP","MSE","NumSegments"
"none",0.1,1,"PELT",0.012987012987013,1,0.0256410256410256,0,4.93068311138887,77
"none",0.1,1,"RFPOP (paper)",1,1,1,1,0.00053585134866808,1
"none",0.1,1,"SVP (MedianMood)",1,1,1,1,0.0138740916485442,1
"none",0.1,1,"SVP (Wilcoxon)",1,1,1,1,0.0138740916485442,1
"none",0.1,1,"SVP Wilcoxon Multiscale",1,1,1,1,0.0138740916485442,1
"none",0.1,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.00053585134866808,1
"up",0.1,1,"PELT",0.0470588235294118,0.5,0.0860215053763441,0,6.50026861634878,85
"up",0.1,1,"RFPOP (paper)",0.5,0.125,0.2,0,0.0523057213707397,2
"up",0.1,1,"SVP (MedianMood)",1,0.125,0.222222222222222,0,0.0748184091729991,1
"up",0.1,1,"SVP (Wilcoxon)",0.166666666666667,0.125,0.142857142857143,0,0.134714192731609,6
"up",0.1,1,"SVP Wilcoxon Multiscale",0.166666666666667,0.125,0.142857142857143,0,0.148602168678386,6
"up",0.1,1,"RFPOP (null-matched c=2.75)",0.5,0.125,0.2,0,0.0523057213707397,2
"updown",0.1,1,"PELT",0.010989010989011,0.125,0.0202020202020202,0,6.19921692122545,91
"updown",0.1,1,"RFPOP (paper)",1,0.125,0.222222222222222,0,0.00263547272680776,1
"updown",0.1,1,"SVP (MedianMood)",1,0.125,0.222222222222222,0,0.0101911971058071,1
"updown",0.1,1,"SVP (Wilcoxon)",0.166666666666667,0.125,0.142857142857143,0,0.131576648687157,6
"updown",0.1,1,"SVP Wilcoxon Multiscale",0.2,0.125,0.153846153846154,0,0.0348038880861537,5
"updown",0.1,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.00263547272680776,1
"rand1",0.1,1,"PELT",0.0394736842105263,0.375,0.0714285714285714,0,5.07084059374003,76
"rand1",0.1,1,"RFPOP (paper)",0.5,0.125,0.2,0,0.0311619742090729,2
"rand1",0.1,1,"SVP (MedianMood)",1,0.125,0.222222222222222,0,0.00615948605254193,1
"rand1",0.1,1,"SVP (Wilcoxon)",0.166666666666667,0.125,0.142857142857143,0,0.0964164543005124,6
"rand1",0.1,1,"SVP Wilcoxon Multiscale",0.166666666666667,0.125,0.142857142857143,0,0.0928025452308816,6
"rand1",0.1,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.00610077555828593,1
"none",0.2,1,"PELT",0.0111111111111111,1,0.021978021978022,0,5.52183589134684,90
"none",0.2,1,"RFPOP (paper)",1,1,1,1,0.00842765929514758,1
"none",0.2,1,"SVP (MedianMood)",1,1,1,1,0.0452420872570015,1
"none",0.2,1,"SVP (Wilcoxon)",0.5,1,0.666666666666667,0,0.0727660246845954,2
"none",0.2,1,"SVP Wilcoxon Multiscale",1,1,1,1,0.0452420872570015,1
"none",0.2,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.00842765929514758,1
"up",0.2,1,"PELT",0.0428571428571429,0.375,0.0769230769230769,0,5.0459832337957,70
"up",0.2,1,"RFPOP (paper)",0.333333333333333,0.125,0.181818181818182,0,0.0392610195632133,3
"up",0.2,1,"SVP (MedianMood)",0.5,0.125,0.2,0,0.0826327109226788,2
"up",0.2,1,"SVP (Wilcoxon)",0.333333333333333,0.25,0.285714285714286,0,0.104788745004041,6
"up",0.2,1,"SVP Wilcoxon Multiscale",0.333333333333333,0.25,0.285714285714286,0,0.0837588239548737,6
"up",0.2,1,"RFPOP (null-matched c=2.75)",0.5,0.125,0.2,0,0.0685109905119188,2
"updown",0.2,1,"PELT",0.0306122448979592,0.375,0.0566037735849057,0,14.5165989025593,98
"updown",0.2,1,"RFPOP (paper)",0.5,0.125,0.2,0,0.0336269460713645,2
"updown",0.2,1,"SVP (MedianMood)",1,0.125,0.222222222222222,0,0.0165586365814718,1
"updown",0.2,1,"SVP (Wilcoxon)",0.142857142857143,0.125,0.133333333333333,0,0.326468834814056,7
"updown",0.2,1,"SVP Wilcoxon Multiscale",0.166666666666667,0.125,0.142857142857143,0,0.233749913985156,6
"updown",0.2,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0100194485474083,1
"rand1",0.2,1,"PELT",0.0273972602739726,0.25,0.0493827160493827,0,3.67287653409176,73
"rand1",0.2,1,"RFPOP (paper)",1,0.125,0.222222222222222,0,0.0242122430693298,1
"rand1",0.2,1,"SVP (MedianMood)",1,0.125,0.222222222222222,0,0.0236814343495955,1
"rand1",0.2,1,"SVP (Wilcoxon)",0.2,0.125,0.153846153846154,0,0.103828709472907,5
"rand1",0.2,1,"SVP Wilcoxon Multiscale",0.2,0.125,0.153846153846154,0,0.11796482972509,5
"rand1",0.2,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0242122430693298,1
"none",0.3,1,"PELT",0.0123456790123457,1,0.024390243902439,0,4.29750265198406,81
"none",0.3,1,"RFPOP (paper)",1,1,1,1,0.000463551034024396,1
"none",0.3,1,"SVP (MedianMood)",1,1,1,1,0.000135395364621889,1
"none",0.3,1,"SVP (Wilcoxon)",1,1,1,1,0.000135395364621889,1
"none",0.3,1,"SVP Wilcoxon Multiscale",1,1,1,1,0.000135395364621889,1
"none",0.3,1,"RFPOP (null-matched c=2.75)",1,1,1,1,0.000463551034024396,1
"up",0.3,1,"PELT",0.0114942528735632,0.125,0.0210526315789474,0,6.65379077995351,87
"up",0.3,1,"RFPOP (paper)",0.666666666666667,0.25,0.363636363636364,0,0.0678259705327722,3
"up",0.3,1,"SVP (MedianMood)",0.333333333333333,0.125,0.181818181818182,0,0.0862152333354582,3
"up",0.3,1,"SVP (Wilcoxon)",0.166666666666667,0.125,0.142857142857143,0,0.054785130773223,6
"up",0.3,1,"SVP Wilcoxon Multiscale",0.166666666666667,0.125,0.142857142857143,0,0.0577064160089167,6
"up",0.3,1,"RFPOP (null-matched c=2.75)",0.666666666666667,0.25,0.363636363636364,0,0.0678259705327722,3
"updown",0.3,1,"PELT",0.0740740740740741,0.75,0.134831460674157,0,3.9381332925692,81
"updown",0.3,1,"RFPOP (paper)",1,0.125,0.222222222222222,0,0.0228853163711795,1
"updown",0.3,1,"SVP (MedianMood)",1,0.125,0.222222222222222,0,0.0333713404146012,1
"updown",0.3,1,"SVP (Wilcoxon)",0.142857142857143,0.125,0.133333333333333,0,0.0957645146518149,7
"updown",0.3,1,"SVP Wilcoxon Multiscale",0.142857142857143,0.125,0.133333333333333,0,0.0929370844118086,7
"updown",0.3,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0228853163711795,1
"rand1",0.3,1,"PELT",0.0253164556962025,0.25,0.0459770114942529,0,6.06865338357078,79
"rand1",0.3,1,"RFPOP (paper)",1,0.125,0.222222222222222,0,0.0615572496621224,1
"rand1",0.3,1,"SVP (MedianMood)",1,0.125,0.222222222222222,0,0.0574392017661014,1
"rand1",0.3,1,"SVP (Wilcoxon)",0.166666666666667,0.125,0.142857142857143,0,0.0689217370686356,6
"rand1",0.3,1,"SVP Wilcoxon Multiscale",0.166666666666667,0.125,0.142857142857143,0,0.084810062427443,6
"rand1",0.3,1,"RFPOP (null-matched c=2.75)",1,0.125,0.222222222222222,0,0.0615572496621224,1
"none",0.4,1,"PELT",0.0166666666666667,1,0.0327868852459016,0,2.28570957248691,60
"none",0.4,1,"RFPOP (paper)",1,1,1,1,1.01759723364558e-05,1
"none",0.4,1,"SVP (MedianMood)",1,1,1,1,0.000238574033451794,1
"none",0.4,1,"SVP (Wilcoxon)",1,1,1,1,0.000238574033451794,1
